,Name,location_lat,location_lng,Date,Year,Price as number,Price,Style
,Gino's,40.71067473,-73.99656346,2019-0221,2019,2.00,$2.00,Plain
,Famous  Calabria Pizza,40.7116825,-73.9995925,2019-0220,2019,3.00,$3.00,Plain
,Roccos Pizzeria,40.692128,-73.94570415,2019-0210,2019,2.75,$2.75,Plain
,Hi-Class Pizza,40.72538,-73.72167,2019-0208,2019,2.75,$2.75,Plain
,Baker's Pizza,40.7294399,-73.98125,2019-0205,2019,3.00,$3.00,Plain
,Kiss My Slice,40.75576,-73.99052,2019-0124,2019,2.75,$2.75,Plain
,99 Cent Fresh Hot Pizza,40.69232,-73.98696,2019-0104,2019,1.00,$1.00,Plain
,Kiss My Slice,40.75576,-73.99052,2018-1213,2018,1.00,$1.00,Plain
,Springfield & LA Bari Pizza & Restaurant,40.6744308,-73.763588,2018-1108,2018,2.00,$2.00,Plain
,Margherita Pizza Inc,40.70453082,-73.79679273,2018-1107,2018,3.00,$3.00,Plain
,Vaccaro's Pizzeria & Trattoria,40.72795,-73.71088,2018-1031,2018,2.65,$2.65,Plain
,Mario's Pizzeria,40.66489,-73.73525,2018-1017,2018,2.50,$2.50,Plain
,Mario's Pizza,40.65763,-73.76724,2018-0929,2018,2.75,$2.75,Plain
,Big John's Pizza,40.7185614,-73.7358451,2018-0912,2018,3.25,$3.25,Pepperoni
,Lamici,40.6635174,-73.7767928,2018-0908,2018,2.50,$2.50,Plain
,Two Boots Pizza,40.72369,-73.98489,2018-0327,2018,4.08,$4.08,Pepperoni
,Alba Pizzeria,40.7093836,-73.8188509,2017-1212,2017,2.75,$2.75,Plain
,Pizza Plus,40.80188,-73.93691,2017-1208,2017,2.00,$2.00,Plain
,Am PM Pizza Bagel,40.62614,-73.97608,2017-1206,2017,2.00,$2.00,Plain
,Pino's Pizza,40.6009756,-74.0005968,2017-1205,2017,2.50,$2.50,Plain
,Margherita Pizza,40.7043939,-73.7971569,2017-1129,2017,3.00,$3.00,Plain
,Carbo's Pizzeria,40.86262,-73.84324,2017-1128,2017,2.50,$2.50,Plain
,Antonio's Pizzeria & Cafe,40.69294,-73.99097,2017-1022,2017,2.50,$2.50,Plain
,Rosa's Pizza,40.71221,-73.90001,2017-0814,2017,2.65,$2.65,Plain
,2 Bros Pizza,40.75695,-73.9935,2017-0803,2017,1.00,$1.00,Plain
,Gotham Pizza,40.73214,-73.98825,2017-0728,2017,2.75,$2.75,Plain
,Joey's Pizza,40.7262164,-73.8951812,2017-0628,2017,2.75,$2.75,Plain
,NY Fresh Pizza,40.7651482,-73.9881363,2017-0616,2017,1.00,$1.00,Plain
